s (1,1) 241
s (235,1) 377
s (236,1) 822
s (237,1) 706
s (238,1) 181
s (239,1) 62
s (240,1) 823
s (241,1) 682
s (242,1) 358
s (243,1) 614
s (244,1) 552
s (245,1) 963
s (246,1) 291
s (247,1) 250
s (248,1) 800
s (249,1) 307
s (250,1) 572
(1,1) (1,2) 742
(2,1) (2,2) 14
(3,1) (3,2) 631
(4,1) (4,2) 246
(5,1) (5,2) 994
(6,1) (6,2) 41
(7,1) (7,2) 565
(8,1) (8,2) 723
(9,1) (9,2) 830
(10,1) (10,2) 258
(11,1) (11,2) 200
(12,1) (12,2) 907
(13,1) (13,2) 41
(14,1) (14,2) 766
(15,1) (15,2) 311
(16,1) (16,2) 369
(17,1) (17,2) 974
(18,1) (18,2) 15
(19,1) (19,2) 618
(20,1) (20,2) 432
(21,1) (21,2) 108
(22,1) (22,2) 809
(23,1) (23,2) 634
(24,1) (24,2) 316
(25,1) (25,2) 921
(26,1) (26,2) 154
(27,1) (27,2) 213
(28,1) (28,2) 989
(29,1) (29,2) 802
(30,1) (30,2) 603
(31,1) (31,2) 450
(32,1) (32,2) 77
(33,1) (33,2) 745
(34,1) (34,2) 43
(35,1) (35,2) 95
(36,1) (36,2) 467
(37,1) (37,2) 756
(38,1) (38,2) 867
(39,1) (39,2) 556
(40,1) (40,2) 536
(41,1) (41,2) 198
(42,1) (42,2) 60
(43,1) (43,2) 539
(44,1) (44,2) 455
(45,1) (45,2) 332
(46,1) (46,2) 876
(47,1) (47,2) 919
(48,1) (48,2) 106
(49,1) (49,2) 494
(50,1) (50,2) 392
(51,1) (51,2) 678
(52,1) (52,2) 967
(53,1) (53,2) 295
(54,1) (54,2) 395
(55,1) (55,2) 213
(56,1) (56,2) 657
(57,1) (57,2) 323
(58,1) (58,2) 237
(59,1) (59,2) 894
(60,1) (60,2) 371
(61,1) (61,2) 13
(62,1) (62,2) 799
(63,1) (63,2) 96
(64,1) (64,2) 215
(65,1) (65,2) 698
(66,1) (66,2) 274
(67,1) (67,2) 420
(68,1) (68,2) 493
(69,1) (69,2) 437
(70,1) (70,2) 679
(71,1) (71,2) 383
(72,1) (72,2) 63
(73,1) (73,2) 416
(74,1) (74,2) 233
(75,1) (75,2) 600
(76,1) (76,2) 489
(77,1) (77,2) 587
(78,1) (78,2) 855
(79,1) (79,2) 744
(80,1) (80,2) 198
(81,1) (81,2) 261
(82,1) (82,2) 77
(83,1) (83,2) 209
(84,1) (84,2) 53
(85,1) (85,2) 900
(86,1) (86,2) 922
(87,1) (87,2) 501
(88,1) (88,2) 898
(89,1) (89,2) 666
(90,1) (90,2) 765
(91,1) (91,2) 284
(92,1) (92,2) 761
(93,1) (93,2) 6
(94,1) (94,2) 64
(95,1) (95,2) 625
(96,1) (96,2) 862
(97,1) (97,2) 332
(98,1) (98,2) 615
(99,1) (99,2) 994
(100,1) (100,2) 448
(101,1) (101,2) 482
(102,1) (102,2) 962
(103,1) (103,2) 314
(104,1) (104,2) 948
(105,1) (105,2) 904
(106,1) (106,2) 165
(107,1) (107,2) 36
(108,1) (108,2) 189
(109,1) (109,2) 364
(110,1) (110,2) 481
(111,1) (111,2) 126
(112,1) (112,2) 136
(113,1) (113,2) 647
(114,1) (114,2) 3
(115,1) (115,2) 480
(116,1) (116,2) 646
(117,1) (117,2) 775
(118,1) (118,2) 218
(119,1) (119,2) 31
(120,1) (120,2) 483
(121,1) (121,2) 457
(122,1) (122,2) 438
(123,1) (123,2) 643
(124,1) (124,2) 228
(125,1) (125,2) 90
(126,1) (126,2) 676
(127,1) (127,2) 737
(128,1) (128,2) 262
(129,1) (129,2) 691
(130,1) (130,2) 190
(131,1) (131,2) 646
(132,1) (132,2) 816
(133,1) (133,2) 255
(134,1) (134,2) 247
(135,1) (135,2) 713
(136,1) (136,2) 930
(137,1) (137,2) 443
(138,1) (138,2) 436
(139,1) (139,2) 82
(140,1) (140,2) 631
(141,1) (141,2) 521
(142,1) (142,2) 374
(143,1) (143,2) 549
(144,1) (144,2) 934
(145,1) (145,2) 784
(146,1) (146,2) 300
(147,1) (147,2) 918
(148,1) (148,2) 623
(149,1) (149,2) 115
(150,1) (150,2) 582
(151,1) (151,2) 952
(152,1) (152,2) 168
(153,1) (153,2) 372
(154,1) (154,2) 556
(155,1) (155,2) 774
(156,1) (156,2) 399
(157,1) (157,2) 69
(158,1) (158,2) 388
(159,1) (159,2) 932
(160,1) (160,2) 714
(161,1) (161,2) 787
(162,1) (162,2) 267
(163,1) (163,2) 467
(164,1) (164,2) 530
(165,1) (165,2) 192
(166,1) (166,2) 971
(167,1) (167,2) 631
(168,1) (168,2) 814
(169,1) (169,2) 547
(170,1) (170,2) 714
(171,1) (171,2) 71
(172,1) (172,2) 188
(173,1) (173,2) 494
(174,1) (174,2) 947
(175,1) (175,2) 481
(176,1) (176,2) 234
(177,1) (177,2) 668
(178,1) (178,2) 110
(179,1) (179,2) 639
(180,1) (180,2) 771
(181,1) (181,2) 853
(182,1) (182,2) 266
(183,1) (183,2) 898
(184,1) (184,2) 605
(185,1) (185,2) 23
(186,1) (186,2) 867
(187,1) (187,2) 657
(188,1) (188,2) 31
(189,1) (189,2) 51
(190,1) (190,2) 342
(191,1) (191,2) 342
(192,1) (192,2) 791
(193,1) (193,2) 81
(194,1) (194,2) 218
(195,1) (195,2) 805
(196,1) (196,2) 265
(197,1) (197,2) 360
(198,1) (198,2) 681
(199,1) (199,2) 258
(200,1) (200,2) 716
(201,1) (201,2) 670
(202,1) (202,2) 195
(203,1) (203,2) 814
(204,1) (204,2) 127
(205,1) (205,2) 384
(206,1) (206,2) 995
(207,1) (207,2) 885
(208,1) (208,2) 217
(209,1) (209,2) 776
(210,1) (210,2) 739
(211,1) (211,2) 536
(212,1) (212,2) 846
(213,1) (213,2) 792
(214,1) (214,2) 867
(215,1) (215,2) 186
(216,1) (216,2) 541
(217,1) (217,2) 223
(218,1) (218,2) 815
(219,1) (219,2) 33
(220,1) (220,2) 502
(221,1) (221,2) 319
(222,1) (222,2) 262
(223,1) (223,2) 258
(224,1) (224,2) 273
(225,1) (225,2) 975
(226,1) (226,2) 222
(227,1) (227,2) 897
(228,1) (228,2) 658
(229,1) (229,2) 380
(230,1) (230,2) 181
(231,1) (231,2) 596
(232,1) (232,2) 840
(233,1) (233,2) 567
(234,1) (234,2) 707
(235,1) (235,2) 483
(236,1) (236,2) 108
(237,1) (237,2) 667
(238,1) (238,2) 91
(239,1) (239,2) 823
(240,1) (240,2) 375
(241,1) (241,2) 422
(242,1) (242,2) 776
(243,1) (243,2) 732
(244,1) (244,2) 573
(245,1) (245,2) 706
(246,1) (246,2) 861
(247,1) (247,2) 132
(248,1) (248,2) 333
(249,1) (249,2) 382
(250,1) (250,2) 732
(1,2) (1,3) 745
(2,2) (2,3) 474
(3,2) (3,3) 589
(4,2) (4,3) 791
(5,2) (5,3) 678
(6,2) (6,3) 628
(7,2) (7,3) 859
(8,2) (8,3) 245
(9,2) (9,3) 778
(10,2) (10,3) 303
(11,2) (11,3) 640
(12,2) (12,3) 917
(13,2) (13,3) 707
(14,2) (14,3) 126
(15,2) (15,3) 82
(16,2) (16,3) 430
(17,2) (17,3) 123
(18,2) (18,3) 48
(19,2) (19,3) 851
(20,2) (20,3) 79
(21,2) (21,3) 498
(22,2) (22,3) 672
(23,2) (23,3) 988
(24,2) (24,3) 90
(25,2) (25,3) 415
(26,2) (26,3) 170
(27,2) (27,3) 4
(28,2) (28,3) 867
(29,2) (29,3) 564
(30,2) (30,3) 777
(31,2) (31,3) 778
(32,2) (32,3) 766
(33,2) (33,3) 517
(34,2) (34,3) 62
(35,2) (35,3) 219
(36,2) (36,3) 958
(37,2) (37,3) 948
(38,2) (38,3) 899
(39,2) (39,3) 848
(40,2) (40,3) 570
(41,2) (41,3) 261
(42,2) (42,3) 622
(43,2) (43,3) 575
(44,2) (44,3) 51
(45,2) (45,3) 881
(46,2) (46,3) 369
(47,2) (47,3) 916
(48,2) (48,3) 96
(49,2) (49,3) 897
(50,2) (50,3) 174
(51,2) (51,3) 755
(52,2) (52,3) 962
(53,2) (53,3) 265
(54,2) (54,3) 447
(55,2) (55,3) 181
(56,2) (56,3) 4
(57,2) (57,3) 870
(58,2) (58,3) 235
(59,2) (59,3) 261
(60,2) (60,3) 537
(61,2) (61,3) 758
(62,2) (62,3) 493
(63,2) (63,3) 526
(64,2) (64,3) 289
(65,2) (65,3) 138
(66,2) (66,3) 823
(67,2) (67,3) 75
(68,2) (68,3) 239
(69,2) (69,3) 658
(70,2) (70,3) 380
(71,2) (71,3) 906
(72,2) (72,3) 666
(73,2) (73,3) 709
(74,2) (74,3) 394
(75,2) (75,3) 6
(76,2) (76,3) 843
(77,2) (77,3) 859
(78,2) (78,3) 918
(79,2) (79,3) 47
(80,2) (80,3) 46
(81,2) (81,3) 674
(82,2) (82,3) 338
(83,2) (83,3) 552
(84,2) (84,3) 897
(85,2) (85,3) 145
(86,2) (86,3) 73
(87,2) (87,3) 165
(88,2) (88,3) 601
(89,2) (89,3) 349
(90,2) (90,3) 924
(91,2) (91,3) 823
(92,2) (92,3) 228
(93,2) (93,3) 269
(94,2) (94,3) 277
(95,2) (95,3) 70
(96,2) (96,3) 930
(97,2) (97,3) 188
(98,2) (98,3) 312
(99,2) (99,3) 433
(100,2) (100,3) 340
(101,2) (101,3) 50
(102,2) (102,3) 225
(103,2) (103,3) 501
(104,2) (104,3) 495
(105,2) (105,3) 527
(106,2) (106,3) 568
(107,2) (107,3) 776
(108,2) (108,3) 554
(109,2) (109,3) 502
(110,2) (110,3) 9
(111,2) (111,3) 849
(112,2) (112,3) 874
(113,2) (113,3) 993
(114,2) (114,3) 632
(115,2) (115,3) 966
(116,2) (116,3) 223
(117,2) (117,3) 719
(118,2) (118,3) 874
(119,2) (119,3) 728
(120,2) (120,3) 151
(121,2) (121,3) 678
(122,2) (122,3) 655
(123,2) (123,3) 519
(124,2) (124,3) 648
(125,2) (125,3) 727
(126,2) (126,3) 764
(127,2) (127,3) 862
(128,2) (128,3) 363
(129,2) (129,3) 61
(130,2) (130,3) 101
(131,2) (131,3) 651
(132,2) (132,3) 236
(133,2) (133,3) 737
(134,2) (134,3) 23
(135,2) (135,3) 325
(136,2) (136,3) 102
(137,2) (137,3) 982
(138,2) (138,3) 499
(139,2) (139,3) 986
(140,2) (140,3) 515
(141,2) (141,3) 148
(142,2) (142,3) 398
(143,2) (143,3) 796
(144,2) (144,3) 825
(145,2) (145,3) 19
(146,2) (146,3) 613
(147,2) (147,3) 584
(148,2) (148,3) 360
(149,2) (149,3) 637
(150,2) (150,3) 558
(151,2) (151,3) 611
(152,2) (152,3) 64
(153,2) (153,3) 472
(154,2) (154,3) 66
(155,2) (155,3) 216
(156,2) (156,3) 696
(157,2) (157,3) 574
(158,2) (158,3) 415
(159,2) (159,3) 778
(160,2) (160,3) 745
(161,2) (161,3) 355
(162,2) (162,3) 722
(163,2) (163,3) 563
(164,2) (164,3) 673
(165,2) (165,3) 699
(166,2) (166,3) 137
(167,2) (167,3) 327
(168,2) (168,3) 403
(169,2) (169,3) 966
(170,2) (170,3) 647
(171,2) (171,3) 160
(172,2) (172,3) 915
(173,2) (173,3) 321
(174,2) (174,3) 448
(175,2) (175,3) 630
(176,2) (176,3) 775
(177,2) (177,3) 226
(178,2) (178,3) 12
(179,2) (179,3) 627
(180,2) (180,3) 690
(181,2) (181,3) 336
(182,2) (182,3) 985
(183,2) (183,3) 40
(184,2) (184,3) 978
(185,2) (185,3) 420
(186,2) (186,3) 184
(187,2) (187,3) 656
(188,2) (188,3) 465
(189,2) (189,3) 240
(190,2) (190,3) 994
(191,2) (191,3) 263
(192,2) (192,3) 128
(193,2) (193,3) 674
(194,2) (194,3) 12
(195,2) (195,3) 550
(196,2) (196,3) 231
(197,2) (197,3) 820
(198,2) (198,3) 821
(199,2) (199,3) 398
(200,2) (200,3) 362
(201,2) (201,3) 868
(202,2) (202,3) 648
(203,2) (203,3) 541
(204,2) (204,3) 102
(205,2) (205,3) 883
(206,2) (206,3) 220
(207,2) (207,3) 762
(208,2) (208,3) 185
(209,2) (209,3) 485
(210,2) (210,3) 873
(211,2) (211,3) 346
(212,2) (212,3) 182
(213,2) (213,3) 788
(214,2) (214,3) 318
(215,2) (215,3) 965
(216,2) (216,3) 312
(217,2) (217,3) 672
(218,2) (218,3) 206
(219,2) (219,3) 544
(220,2) (220,3) 486
(221,2) (221,3) 31
(222,2) (222,3) 425
(223,2) (223,3) 207
(224,2) (224,3) 109
(225,2) (225,3) 909
(226,2) (226,3) 382
(227,2) (227,3) 439
(228,2) (228,3) 451
(229,2) (229,3) 64
(230,2) (230,3) 453
(231,2) (231,3) 245
(232,2) (232,3) 799
(233,2) (233,3) 787
(234,2) (234,3) 178
(235,2) (235,3) 455
(236,2) (236,3) 655
(237,2) (237,3) 525
(238,2) (238,3) 607
(239,2) (239,3) 965
(240,2) (240,3) 601
(241,2) (241,3) 405
(242,2) (242,3) 881
(243,2) (243,3) 658
(244,2) (244,3) 539
(245,2) (245,3) 269
(246,2) (246,3) 458
(247,2) (247,3) 677
(248,2) (248,3) 653
(249,2) (249,3) 632
(250,2) (250,3) 975
(1,3) (1,4) 279
(2,3) (2,4) 196
(3,3) (3,4) 680
(4,3) (4,4) 607
(5,3) (5,4) 672
(6,3) (6,4) 106
(7,3) (7,4) 760
(8,3) (8,4) 604
(9,3) (9,4) 667
(10,3) (10,4) 561
(11,3) (11,4) 539
(12,3) (12,4) 678
(13,3) (13,4) 570
(14,3) (14,4) 639
(15,3) (15,4) 328
(16,3) (16,4) 506
(17,3) (17,4) 127
(18,3) (18,4) 922
(19,3) (19,4) 363
(20,3) (20,4) 466
(21,3) (21,4) 881
(22,3) (22,4) 708
(23,3) (23,4) 848
(24,3) (24,4) 535
(25,3) (25,4) 871
(26,3) (26,4) 18
(27,3) (27,4) 814
(28,3) (28,4) 97
(29,3) (29,4) 116
(30,3) (30,4) 975
(31,3) (31,4) 558
(32,3) (32,4) 287
(33,3) (33,4) 279
(34,3) (34,4) 646
(35,3) (35,4) 447
(36,3) (36,4) 145
(37,3) (37,4) 877
(38,3) (38,4) 876
(39,3) (39,4) 40
(40,3) (40,4) 114
(41,3) (41,4) 334
(42,3) (42,4) 684
(43,3) (43,4) 145
(44,3) (44,4) 132
(45,3) (45,4) 497
(46,3) (46,4) 716
(47,3) (47,4) 214
(48,3) (48,4) 596
(49,3) (49,4) 356
(50,3) (50,4) 732
(51,3) (51,4) 112
(52,3) (52,4) 868
(53,3) (53,4) 412
(54,3) (54,4) 631
(55,3) (55,4) 642
(56,3) (56,4) 95
(57,3) (57,4) 589
(58,3) (58,4) 370
(59,3) (59,4) 285
(60,3) (60,4) 223
(61,3) (61,4) 990
(62,3) (62,4) 321
(63,3) (63,4) 889
(64,3) (64,4) 490
(65,3) (65,4) 893
(66,3) (66,4) 969
(67,3) (67,4) 576
(68,3) (68,4) 35
(69,3) (69,4) 738
(70,3) (70,4) 64
(71,3) (71,4) 200
(72,3) (72,4) 365
(73,3) (73,4) 107
(74,3) (74,4) 536
(75,3) (75,4) 926
(76,3) (76,4) 882
(77,3) (77,4) 292
(78,3) (78,4) 691
(79,3) (79,4) 889
(80,3) (80,4) 66
(81,3) (81,4) 392
(82,3) (82,4) 161
(83,3) (83,4) 530
(84,3) (84,4) 271
(85,3) (85,4) 808
(86,3) (86,4) 668
(87,3) (87,4) 158
(88,3) (88,4) 965
(89,3) (89,4) 655
(90,3) (90,4) 156
(91,3) (91,4) 933
(92,3) (92,4) 839
(93,3) (93,4) 744
(94,3) (94,4) 567
(95,3) (95,4) 394
(96,3) (96,4) 612
(97,3) (97,4) 916
(98,3) (98,4) 552
(99,3) (99,4) 423
(100,3) (100,4) 673
(101,3) (101,4) 732
(102,3) (102,4) 224
(103,3) (103,4) 237
(104,3) (104,4) 328
(105,3) (105,4) 431
(106,3) (106,4) 250
(107,3) (107,4) 485
(108,3) (108,4) 182
(109,3) (109,4) 880
(110,3) (110,4) 280
(111,3) (111,4) 294
(112,3) (112,4) 130
(113,3) (113,4) 376
(114,3) (114,4) 772
(115,3) (115,4) 731
(116,3) (116,4) 168
(117,3) (117,4) 699
(118,3) (118,4) 881
(119,3) (119,4) 808
(120,3) (120,4) 438
(121,3) (121,4) 497
(122,3) (122,4) 239
(123,3) (123,4) 705
(124,3) (124,4) 726
(125,3) (125,4) 876
(126,3) (126,4) 525
(127,3) (127,4) 615
(128,3) (128,4) 970
(129,3) (129,4) 89
(130,3) (130,4) 320
(131,3) (131,4) 712
(132,3) (132,4) 62
(133,3) (133,4) 893
(134,3) (134,4) 242
(135,3) (135,4) 594
(136,3) (136,4) 415
(137,3) (137,4) 581
(138,3) (138,4) 854
(139,3) (139,4) 219
(140,3) (140,4) 42
(141,3) (141,4) 586
(142,3) (142,4) 760
(143,3) (143,4) 920
(144,3) (144,4) 199
(145,3) (145,4) 415
(146,3) (146,4) 730
(147,3) (147,4) 609
(148,3) (148,4) 371
(149,3) (149,4) 640
(150,3) (150,4) 328
(151,3) (151,4) 229
(152,3) (152,4) 989
(153,3) (153,4) 641
(154,3) (154,4) 597
(155,3) (155,4) 223
(156,3) (156,4) 472
(157,3) (157,4) 408
(158,3) (158,4) 654
(159,3) (159,4) 356
(160,3) (160,4) 767
(161,3) (161,4) 40
(162,3) (162,4) 557
(163,3) (163,4) 391
(164,3) (164,4) 456
(165,3) (165,4) 851
(166,3) (166,4) 272
(167,3) (167,4) 835
(168,3) (168,4) 71
(169,3) (169,4) 915
(170,3) (170,4) 359
(171,3) (171,4) 909
(172,3) (172,4) 883
(173,3) (173,4) 77
(174,3) (174,4) 565
(175,3) (175,4) 804
(176,3) (176,4) 469
(177,3) (177,4) 546
(178,3) (178,4) 974
(179,3) (179,4) 702
(180,3) (180,4) 996
(181,3) (181,4) 371
(182,3) (182,4) 695
(183,3) (183,4) 608
(184,3) (184,4) 526
(185,3) (185,4) 561
(186,3) (186,4) 898
(187,3) (187,4) 137
(188,3) (188,4) 657
(189,3) (189,4) 271
(190,3) (190,4) 712
(191,3) (191,4) 507
(192,3) (192,4) 232
(193,3) (193,4) 132
(194,3) (194,4) 705
(195,3) (195,4) 448
(196,3) (196,4) 81
(197,3) (197,4) 48
(198,3) (198,4) 376
(199,3) (199,4) 37
(200,3) (200,4) 723
(201,3) (201,4) 779
(202,3) (202,4) 266
(203,3) (203,4) 125
(204,3) (204,4) 244
(205,3) (205,4) 893
(206,3) (206,4) 981
(207,3) (207,4) 629
(208,3) (208,4) 417
(209,3) (209,4) 525
(210,3) (210,4) 212
(211,3) (211,4) 295
(212,3) (212,4) 559
(213,3) (213,4) 713
(214,3) (214,4) 808
(215,3) (215,4) 589
(216,3) (216,4) 245
(217,3) (217,4) 638
(218,3) (218,4) 691
(219,3) (219,4) 700
(220,3) (220,4) 437
(221,3) (221,4) 269
(222,3) (222,4) 470
(223,3) (223,4) 827
(224,3) (224,4) 224
(225,3) (225,4) 538
(226,3) (226,4) 547
(227,3) (227,4) 974
(228,3) (228,4) 6
(229,3) (229,4) 186
(230,3) (230,4) 676
(231,3) (231,4) 947
(232,3) (232,4) 647
(233,3) (233,4) 209
(234,3) (234,4) 26
(235,3) (235,4) 352
(236,3) (236,4) 275
(237,3) (237,4) 118
(238,3) (238,4) 218
(239,3) (239,4) 583
(240,3) (240,4) 677
(241,3) (241,4) 387
(242,3) (242,4) 626
(243,3) (243,4) 784
(244,3) (244,4) 655
(245,3) (245,4) 812
(246,3) (246,4) 65
(247,3) (247,4) 913
(248,3) (248,4) 31
(249,3) (249,4) 875
(250,3) (250,4) 948
(1,4) (1,5) 588
(2,4) (2,5) 391
(3,4) (3,5) 726
(4,4) (4,5) 724
(5,4) (5,5) 37
(6,4) (6,5) 547
(7,4) (7,5) 974
(8,4) (8,5) 813
(9,4) (9,5) 711
(10,4) (10,5) 499
(11,4) (11,5) 964
(12,4) (12,5) 802
(13,4) (13,5) 34
(14,4) (14,5) 471
(15,4) (15,5) 586
(16,4) (16,5) 164
(17,4) (17,5) 626
(18,4) (18,5) 170
(19,4) (19,5) 932
(20,4) (20,5) 826
(21,4) (21,5) 919
(22,4) (22,5) 544
(23,4) (23,5) 361
(24,4) (24,5) 201
(25,4) (25,5) 213
(26,4) (26,5) 457
(27,4) (27,5) 442
(28,4) (28,5) 44
(29,4) (29,5) 448
(30,4) (30,5) 223
(31,4) (31,5) 477
(32,4) (32,5) 864
(33,4) (33,5) 61
(34,4) (34,5) 828
(35,4) (35,5) 646
(36,4) (36,5) 614
(37,4) (37,5) 887
(38,4) (38,5) 621
(39,4) (39,5) 955
(40,4) (40,5) 420
(41,4) (41,5) 261
(42,4) (42,5) 115
(43,4) (43,5) 451
(44,4) (44,5) 373
(45,4) (45,5) 133
(46,4) (46,5) 848
(47,4) (47,5) 186
(48,4) (48,5) 763
(49,4) (49,5) 423
(50,4) (50,5) 910
(51,4) (51,5) 827
(52,4) (52,5) 7
(53,4) (53,5) 616
(54,4) (54,5) 379
(55,4) (55,5) 83
(56,4) (56,5) 784
(57,4) (57,5) 618
(58,4) (58,5) 793
(59,4) (59,5) 830
(60,4) (60,5) 511
(61,4) (61,5) 252
(62,4) (62,5) 170
(63,4) (63,5) 304
(64,4) (64,5) 603
(65,4) (65,5) 435
(66,4) (66,5) 240
(67,4) (67,5) 26
(68,4) (68,5) 176
(69,4) (69,5) 997
(70,4) (70,5) 618
(71,4) (71,5) 70
(72,4) (72,5) 195
(73,4) (73,5) 253
(74,4) (74,5) 579
(75,4) (75,5) 473
(76,4) (76,5) 952
(77,4) (77,5) 96
(78,4) (78,5) 453
(79,4) (79,5) 285
(80,4) (80,5) 316
(81,4) (81,5) 827
(82,4) (82,5) 187
(83,4) (83,5) 72
(84,4) (84,5) 47
(85,4) (85,5) 807
(86,4) (86,5) 764
(87,4) (87,5) 276
(88,4) (88,5) 417
(89,4) (89,5) 522
(90,4) (90,5) 98
(91,4) (91,5) 948
(92,4) (92,5) 533
(93,4) (93,5) 571
(94,4) (94,5) 850
(95,4) (95,5) 255
(96,4) (96,5) 482
(97,4) (97,5) 466
(98,4) (98,5) 567
(99,4) (99,5) 916
(100,4) (100,5) 430
(101,4) (101,5) 138
(102,4) (102,5) 255
(103,4) (103,5) 179
(104,4) (104,5) 870
(105,4) (105,5) 579
(106,4) (106,5) 799
(107,4) (107,5) 324
(108,4) (108,5) 345
(109,4) (109,5) 40
(110,4) (110,5) 42
(111,4) (111,5) 46
(112,4) (112,5) 827
(113,4) (113,5) 58
(114,4) (114,5) 517
(115,4) (115,5) 117
(116,4) (116,5) 516
(117,4) (117,5) 839
(118,4) (118,5) 150
(119,4) (119,5) 625
(120,4) (120,5) 200
(121,4) (121,5) 963
(122,4) (122,5) 490
(123,4) (123,5) 96
(124,4) (124,5) 818
(125,4) (125,5) 25
(126,4) (126,5) 341
(127,4) (127,5) 703
(128,4) (128,5) 377
(129,4) (129,5) 302
(130,4) (130,5) 668
(131,4) (131,5) 586
(132,4) (132,5) 829
(133,4) (133,5) 66
(134,4) (134,5) 639
(135,4) (135,5) 461
(136,4) (136,5) 514
(137,4) (137,5) 411
(138,4) (138,5) 675
(139,4) (139,5) 206
(140,4) (140,5) 227
(141,4) (141,5) 480
(142,4) (142,5) 20
(143,4) (143,5) 946
(144,4) (144,5) 682
(145,4) (145,5) 352
(146,4) (146,5) 119
(147,4) (147,5) 200
(148,4) (148,5) 476
(149,4) (149,5) 861
(150,4) (150,5) 357
(151,4) (151,5) 462
(152,4) (152,5) 514
(153,4) (153,5) 16
