s (1,1) 47
s (192,1) 86
s (193,1) 83
s (194,1) 30
s (195,1) 80
s (196,1) 2
s (197,1) 62
s (198,1) 98
s (199,1) 24
s (200,1) 54
s (201,1) 9
s (202,1) 23
s (203,1) 52
s (204,1) 83
s (205,1) 71
s (206,1) 70
s (207,1) 14
s (208,1) 73
s (209,1) 5
s (210,1) 43
s (211,1) 66
s (212,1) 63
s (213,1) 23
s (214,1) 73
s (215,1) 53
s (216,1) 43
s (217,1) 94
s (218,1) 59
s (219,1) 76
s (220,1) 22
s (221,1) 49
s (222,1) 72
s (223,1) 54
s (224,1) 45
s (225,1) 44
s (226,1) 43
s (227,1) 89
s (228,1) 17
s (229,1) 73
s (230,1) 46
s (231,1) 48
s (232,1) 5
s (233,1) 76
s (234,1) 41
s (235,1) 91
s (236,1) 27
s (237,1) 50
s (238,1) 92
s (239,1) 9
s (240,1) 43
s (241,1) 13
s (242,1) 70
s (243,1) 90
s (244,1) 52
s (245,1) 6
s (246,1) 91
s (247,1) 76
s (248,1) 80
s (249,1) 63
s (250,1) 17
(1,1) (1,2) 74
(2,1) (2,2) 7
(3,1) (3,2) 1
(4,1) (4,2) 100
(5,1) (5,2) 80
(6,1) (6,2) 99
(7,1) (7,2) 75
(8,1) (8,2) 53
(9,1) (9,2) 40
(10,1) (10,2) 55
(11,1) (11,2) 14
(12,1) (12,2) 89
(13,1) (13,2) 11
(14,1) (14,2) 33
(15,1) (15,2) 16
(16,1) (16,2) 18
(17,1) (17,2) 41
(18,1) (18,2) 50
(19,1) (19,2) 56
(20,1) (20,2) 62
(21,1) (21,2) 83
(22,1) (22,2) 70
(23,1) (23,2) 39
(24,1) (24,2) 43
(25,1) (25,2) 1
(26,1) (26,2) 30
(27,1) (27,2) 57
(28,1) (28,2) 36
(29,1) (29,2) 83
(30,1) (30,2) 75
(31,1) (31,2) 51
(32,1) (32,2) 68
(33,1) (33,2) 58
(34,1) (34,2) 88
(35,1) (35,2) 38
(36,1) (36,2) 74
(37,1) (37,2) 24
(38,1) (38,2) 28
(39,1) (39,2) 62
(40,1) (40,2) 60
(41,1) (41,2) 41
(42,1) (42,2) 29
(43,1) (43,2) 72
(44,1) (44,2) 56
(45,1) (45,2) 33
(46,1) (46,2) 41
(47,1) (47,2) 53
(48,1) (48,2) 52
(49,1) (49,2) 63
(50,1) (50,2) 15
(51,1) (51,2) 39
(52,1) (52,2) 61
(53,1) (53,2) 85
(54,1) (54,2) 10
(55,1) (55,2) 28
(56,1) (56,2) 12
(57,1) (57,2) 29
(58,1) (58,2) 95
(59,1) (59,2) 7
(60,1) (60,2) 62
(61,1) (61,2) 100
(62,1) (62,2) 20
(63,1) (63,2) 99
(64,1) (64,2) 75
(65,1) (65,2) 30
(66,1) (66,2) 86
(67,1) (67,2) 46
(68,1) (68,2) 6
(69,1) (69,2) 25
(70,1) (70,2) 51
(71,1) (71,2) 25
(72,1) (72,2) 88
(73,1) (73,2) 53
(74,1) (74,2) 93
(75,1) (75,2) 87
(76,1) (76,2) 98
(77,1) (77,2) 69
(78,1) (78,2) 84
(79,1) (79,2) 73
(80,1) (80,2) 12
(81,1) (81,2) 51
(82,1) (82,2) 15
(83,1) (83,2) 38
(84,1) (84,2) 44
(85,1) (85,2) 6
(86,1) (86,2) 95
(87,1) (87,2) 95
(88,1) (88,2) 53
(89,1) (89,2) 61
(90,1) (90,2) 99
(91,1) (91,2) 96
(92,1) (92,2) 66
(93,1) (93,2) 89
(94,1) (94,2) 7
(95,1) (95,2) 31
(96,1) (96,2) 90
(97,1) (97,2) 23
(98,1) (98,2) 84
(99,1) (99,2) 11
(100,1) (100,2) 37
(101,1) (101,2) 64
(102,1) (102,2) 98
(103,1) (103,2) 78
(104,1) (104,2) 65
(105,1) (105,2) 98
(106,1) (106,2) 46
(107,1) (107,2) 51
(108,1) (108,2) 44
(109,1) (109,2) 71
(110,1) (110,2) 84
(111,1) (111,2) 2
(112,1) (112,2) 87
(113,1) (113,2) 55
(114,1) (114,2) 41
(115,1) (115,2) 2
(116,1) (116,2) 20
(117,1) (117,2) 47
(118,1) (118,2) 88
(119,1) (119,2) 90
(120,1) (120,2) 56
(121,1) (121,2) 57
(122,1) (122,2) 82
(123,1) (123,2) 25
(124,1) (124,2) 87
(125,1) (125,2) 62
(126,1) (126,2) 92
(127,1) (127,2) 59
(128,1) (128,2) 54
(129,1) (129,2) 10
(130,1) (130,2) 35
(131,1) (131,2) 36
(132,1) (132,2) 3
(133,1) (133,2) 84
(134,1) (134,2) 76
(135,1) (135,2) 31
(136,1) (136,2) 100
(137,1) (137,2) 37
(138,1) (138,2) 77
(139,1) (139,2) 29
(140,1) (140,2) 74
(141,1) (141,2) 21
(142,1) (142,2) 99
(143,1) (143,2) 74
(144,1) (144,2) 32
(145,1) (145,2) 13
(146,1) (146,2) 5
(147,1) (147,2) 77
(148,1) (148,2) 77
(149,1) (149,2) 35
(150,1) (150,2) 39
(151,1) (151,2) 87
(152,1) (152,2) 11
(153,1) (153,2) 73
(154,1) (154,2) 9
(155,1) (155,2) 65
(156,1) (156,2) 38
(157,1) (157,2) 92
(158,1) (158,2) 91
(159,1) (159,2) 83
(160,1) (160,2) 73
(161,1) (161,2) 53
(162,1) (162,2) 2
(163,1) (163,2) 25
(164,1) (164,2) 92
(165,1) (165,2) 89
(166,1) (166,2) 76
(167,1) (167,2) 5
(168,1) (168,2) 83
(169,1) (169,2) 91
(170,1) (170,2) 85
(171,1) (171,2) 8
(172,1) (172,2) 47
(173,1) (173,2) 68
(174,1) (174,2) 71
(175,1) (175,2) 15
(176,1) (176,2) 59
(177,1) (177,2) 67
(178,1) (178,2) 79
(179,1) (179,2) 30
(180,1) (180,2) 91
(181,1) (181,2) 43
(182,1) (182,2) 26
(183,1) (183,2) 15
(184,1) (184,2) 40
(185,1) (185,2) 20
(186,1) (186,2) 40
(187,1) (187,2) 40
(188,1) (188,2) 7
(189,1) (189,2) 78
(190,1) (190,2) 20
(191,1) (191,2) 6
(192,1) (192,2) 13
(193,1) (193,2) 94
(194,1) (194,2) 53
(195,1) (195,2) 39
(196,1) (196,2) 83
(197,1) (197,2) 89
(198,1) (198,2) 71
(199,1) (199,2) 12
(200,1) (200,2) 8
(201,1) (201,2) 50
(202,1) (202,2) 19
(203,1) (203,2) 68
(204,1) (204,2) 36
(205,1) (205,2) 46
(206,1) (206,2) 86
(207,1) (207,2) 57
(208,1) (208,2) 92
(209,1) (209,2) 27
(210,1) (210,2) 97
(211,1) (211,2) 45
(212,1) (212,2) 13
(213,1) (213,2) 86
(214,1) (214,2) 74
(215,1) (215,2) 66
(216,1) (216,2) 33
(217,1) (217,2) 48
(218,1) (218,2) 98
(219,1) (219,2) 42
(220,1) (220,2) 9
(221,1) (221,2) 89
(222,1) (222,2) 99
(223,1) (223,2) 13
(224,1) (224,2) 28
(225,1) (225,2) 59
(226,1) (226,2) 5
(227,1) (227,2) 57
(228,1) (228,2) 89
(229,1) (229,2) 25
(230,1) (230,2) 42
(231,1) (231,2) 52
(232,1) (232,2) 42
(233,1) (233,2) 84
(234,1) (234,2) 66
(235,1) (235,2) 10
(236,1) (236,2) 13
(237,1) (237,2) 3
(238,1) (238,2) 9
(239,1) (239,2) 34
(240,1) (240,2) 40
(241,1) (241,2) 87
(242,1) (242,2) 44
(243,1) (243,2) 54
(244,1) (244,2) 59
(245,1) (245,2) 49
(246,1) (246,2) 100
(247,1) (247,2) 79
(248,1) (248,2) 93
(249,1) (249,2) 56
(250,1) (250,2) 23
(1,2) (1,3) 44
(2,2) (2,3) 29
(3,2) (3,3) 17
(4,2) (4,3) 7
(5,2) (5,3) 64
(6,2) (6,3) 68
(7,2) (7,3) 74
(8,2) (8,3) 69
(9,2) (9,3) 7
(10,2) (10,3) 94
(11,2) (11,3) 83
(12,2) (12,3) 99
(13,2) (13,3) 96
(14,2) (14,3) 21
(15,2) (15,3) 11
(16,2) (16,3) 51
(17,2) (17,3) 33
(18,2) (18,3) 45
(19,2) (19,3) 54
(20,2) (20,3) 84
(21,2) (21,3) 84
(22,2) (22,3) 33
(23,2) (23,3) 25
(24,2) (24,3) 50
(25,2) (25,3) 90
(26,2) (26,3) 79
(27,2) (27,3) 32
(28,2) (28,3) 66
(29,2) (29,3) 20
(30,2) (30,3) 72
(31,2) (31,3) 84
(32,2) (32,3) 32
(33,2) (33,3) 29
(34,2) (34,3) 19
(35,2) (35,3) 33
(36,2) (36,3) 10
(37,2) (37,3) 95
(38,2) (38,3) 88
(39,2) (39,3) 34
(40,2) (40,3) 30
(41,2) (41,3) 21
(42,2) (42,3) 93
(43,2) (43,3) 99
(44,2) (44,3) 47
(45,2) (45,3) 58
(46,2) (46,3) 69
(47,2) (47,3) 9
(48,2) (48,3) 76
(49,2) (49,3) 57
(50,2) (50,3) 97
(51,2) (51,3) 84
(52,2) (52,3) 67
(53,2) (53,3) 88
(54,2) (54,3) 65
(55,2) (55,3) 59
(56,2) (56,3) 42
(57,2) (57,3) 76
(58,2) (58,3) 99
(59,2) (59,3) 66
(60,2) (60,3) 1
(61,2) (61,3) 19
(62,2) (62,3) 27
(63,2) (63,3) 16
(64,2) (64,3) 44
(65,2) (65,3) 69
(66,2) (66,3) 67
(67,2) (67,3) 13
(68,2) (68,3) 14
(69,2) (69,3) 41
(70,2) (70,3) 17
(71,2) (71,3) 22
(72,2) (72,3) 87
(73,2) (73,3) 48
(74,2) (74,3) 83
(75,2) (75,3) 29
(76,2) (76,3) 26
(77,2) (77,3) 20
(78,2) (78,3) 63
(79,2) (79,3) 44
(80,2) (80,3) 76
(81,2) (81,3) 34
(82,2) (82,3) 33
(83,2) (83,3) 96
(84,2) (84,3) 54
(85,2) (85,3) 98
(86,2) (86,3) 98
(87,2) (87,3) 48
(88,2) (88,3) 5
(89,2) (89,3) 77
(90,2) (90,3) 32
(91,2) (91,3) 20
(92,2) (92,3) 89
(93,2) (93,3) 21
(94,2) (94,3) 100
(95,2) (95,3) 32
(96,2) (96,3) 23
(97,2) (97,3) 37
(98,2) (98,3) 28
(99,2) (99,3) 42
(100,2) (100,3) 68
(101,2) (101,3) 7
(102,2) (102,3) 85
(103,2) (103,3) 8
(104,2) (104,3) 40
(105,2) (105,3) 71
(106,2) (106,3) 56
(107,2) (107,3) 31
(108,2) (108,3) 4
(109,2) (109,3) 99
(110,2) (110,3) 77
(111,2) (111,3) 66
(112,2) (112,3) 28
(113,2) (113,3) 77
(114,2) (114,3) 80
(115,2) (115,3) 47
(116,2) (116,3) 52
(117,2) (117,3) 6
(118,2) (118,3) 2
(119,2) (119,3) 75
(120,2) (120,3) 58
(121,2) (121,3) 7
(122,2) (122,3) 41
(123,2) (123,3) 49
(124,2) (124,3) 94
(125,2) (125,3) 33
(126,2) (126,3) 93
(127,2) (127,3) 24
(128,2) (128,3) 2
(129,2) (129,3) 84
(130,2) (130,3) 34
(131,2) (131,3) 60
(132,2) (132,3) 36
(133,2) (133,3) 65
(134,2) (134,3) 9
(135,2) (135,3) 83
(136,2) (136,3) 66
(137,2) (137,3) 74
(138,2) (138,3) 79
(139,2) (139,3) 28
(140,2) (140,3) 97
(141,2) (141,3) 94
(142,2) (142,3) 81
(143,2) (143,3) 21
(144,2) (144,3) 6
(145,2) (145,3) 9
(146,2) (146,3) 43
(147,2) (147,3) 29
(148,2) (148,3) 67
(149,2) (149,3) 27
(150,2) (150,3) 73
(151,2) (151,3) 94
(152,2) (152,3) 34
(153,2) (153,3) 28
(154,2) (154,3) 67
(155,2) (155,3) 53
(156,2) (156,3) 55
(157,2) (157,3) 41
(158,2) (158,3) 96
(159,2) (159,3) 33
(160,2) (160,3) 92
(161,2) (161,3) 86
(162,2) (162,3) 75
(163,2) (163,3) 62
(164,2) (164,3) 99
(165,2) (165,3) 11
(166,2) (166,3) 38
(167,2) (167,3) 66
(168,2) (168,3) 52
(169,2) (169,3) 82
(170,2) (170,3) 89
(171,2) (171,3) 90
(172,2) (172,3) 36
(173,2) (173,3) 7
(174,2) (174,3) 26
(175,2) (175,3) 71
(176,2) (176,3) 54
(177,2) (177,3) 30
(178,2) (178,3) 82
(179,2) (179,3) 85
(180,2) (180,3) 90
(181,2) (181,3) 74
(182,2) (182,3) 81
(183,2) (183,3) 12
(184,2) (184,3) 36
(185,2) (185,3) 19
(186,2) (186,3) 74
(187,2) (187,3) 37
(188,2) (188,3) 66
(189,2) (189,3) 63
(190,2) (190,3) 15
(191,2) (191,3) 25
(192,2) (192,3) 90
(193,2) (193,3) 87
(194,2) (194,3) 68
(195,2) (195,3) 61
(196,2) (196,3) 3
(197,2) (197,3) 81
(198,2) (198,3) 7
(199,2) (199,3) 63
(200,2) (200,3) 79
(201,2) (201,3) 53
(202,2) (202,3) 69
(203,2) (203,3) 17
(204,2) (204,3) 15
(205,2) (205,3) 20
(206,2) (206,3) 56
(207,2) (207,3) 86
(208,2) (208,3) 91
(209,2) (209,3) 25
(210,2) (210,3) 84
(211,2) (211,3) 35
(212,2) (212,3) 32
(213,2) (213,3) 83
(214,2) (214,3) 3
(215,2) (215,3) 65
(216,2) (216,3) 72
(217,2) (217,3) 81
(218,2) (218,3) 45
(219,2) (219,3) 41
(220,2) (220,3) 13
(221,2) (221,3) 32
(222,2) (222,3) 5
(223,2) (223,3) 93
(224,2) (224,3) 87
(225,2) (225,3) 64
(226,2) (226,3) 92
(227,2) (227,3) 4
(228,2) (228,3) 24
(229,2) (229,3) 22
(230,2) (230,3) 48
(231,2) (231,3) 81
(232,2) (232,3) 82
(233,2) (233,3) 18
(234,2) (234,3) 56
(235,2) (235,3) 62
(236,2) (236,3) 32
(237,2) (237,3) 54
(238,2) (238,3) 31
(239,2) (239,3) 88
(240,2) (240,3) 93
(241,2) (241,3) 65
(242,2) (242,3) 2
(243,2) (243,3) 24
(244,2) (244,3) 6
(245,2) (245,3) 42
(246,2) (246,3) 16
(247,2) (247,3) 48
(248,2) (248,3) 91
(249,2) (249,3) 61
(250,2) (250,3) 49
(1,3) (1,4) 8
(2,3) (2,4) 62
(3,3) (3,4) 20
(4,3) (4,4) 59
(5,3) (5,4) 77
(6,3) (6,4) 95
(7,3) (7,4) 36
(8,3) (8,4) 97
(9,3) (9,4) 36
(10,3) (10,4) 80
(11,3) (11,4) 55
(12,3) (12,4) 65
(13,3) (13,4) 60
(14,3) (14,4) 37
(15,3) (15,4) 82
(16,3) (16,4) 2
(17,3) (17,4) 21
(18,3) (18,4) 21
(19,3) (19,4) 36
(20,3) (20,4) 75
(21,3) (21,4) 28
(22,3) (22,4) 73
(23,3) (23,4) 6
(24,3) (24,4) 96
(25,3) (25,4) 23
(26,3) (26,4) 49
(27,3) (27,4) 66
(28,3) (28,4) 11
(29,3) (29,4) 83
(30,3) (30,4) 40
(31,3) (31,4) 63
(32,3) (32,4) 74
(33,3) (33,4) 31
(34,3) (34,4) 99
(35,3) (35,4) 19
(36,3) (36,4) 95
(37,3) (37,4) 61
(38,3) (38,4) 39
(39,3) (39,4) 47
(40,3) (40,4) 8
(41,3) (41,4) 80
(42,3) (42,4) 62
(43,3) (43,4) 64
(44,3) (44,4) 10
(45,3) (45,4) 4
(46,3) (46,4) 25
(47,3) (47,4) 11
(48,3) (48,4) 75
(49,3) (49,4) 85
(50,3) (50,4) 68
(51,3) (51,4) 44
(52,3) (52,4) 17
(53,3) (53,4) 2
(54,3) (54,4) 50
(55,3) (55,4) 92
(56,3) (56,4) 21
(57,3) (57,4) 77
(58,3) (58,4) 43
(59,3) (59,4) 85
(60,3) (60,4) 79
(61,3) (61,4) 85
(62,3) (62,4) 19
(63,3) (63,4) 83
(64,3) (64,4) 51
(65,3) (65,4) 37
(66,3) (66,4) 18
(67,3) (67,4) 88
(68,3) (68,4) 43
(69,3) (69,4) 13
(70,3) (70,4) 75
(71,3) (71,4) 9
(72,3) (72,4) 33
(73,3) (73,4) 5
(74,3) (74,4) 50
(75,3) (75,4) 17
(76,3) (76,4) 76
(77,3) (77,4) 68
(78,3) (78,4) 9
(79,3) (79,4) 60
(80,3) (80,4) 86
(81,3) (81,4) 50
(82,3) (82,4) 62
(83,3) (83,4) 12
(84,3) (84,4) 75
(85,3) (85,4) 65
(86,3) (86,4) 92
(87,3) (87,4) 52
(88,3) (88,4) 34
(89,3) (89,4) 78
(90,3) (90,4) 65
(91,3) (91,4) 5
(92,3) (92,4) 74
(93,3) (93,4) 22
(94,3) (94,4) 53
(95,3) (95,4) 73
(96,3) (96,4) 65
(97,3) (97,4) 99
(98,3) (98,4) 61
(99,3) (99,4) 92
(100,3) (100,4) 93
(101,3) (101,4) 78
(102,3) (102,4) 5
(103,3) (103,4) 39
(104,3) (104,4) 7
(105,3) (105,4) 70
(106,3) (106,4) 19
(107,3) (107,4) 1
(108,3) (108,4) 90
(109,3) (109,4) 22
(110,3) (110,4) 90
(111,3) (111,4) 89
(112,3) (112,4) 84
(113,3) (113,4) 93
(114,3) (114,4) 95
(115,3) (115,4) 65
(116,3) (116,4) 31
(117,3) (117,4) 19
(118,3) (118,4) 8
(119,3) (119,4) 33
(120,3) (120,4) 51
(121,3) (121,4) 49
(122,3) (122,4) 67
(123,3) (123,4) 99
(124,3) (124,4) 48
(125,3) (125,4) 74
(126,3) (126,4) 74
(127,3) (127,4) 30
(128,3) (128,4) 16
(129,3) (129,4) 65
(130,3) (130,4) 9
(131,3) (131,4) 71
(132,3) (132,4) 39
(133,3) (133,4) 18
(134,3) (134,4) 91
(135,3) (135,4) 68
(136,3) (136,4) 23
(137,3) (137,4) 8
(138,3) (138,4) 27
(139,3) (139,4) 70
(140,3) (140,4) 71
(141,3) (141,4) 37
(142,3) (142,4) 27
(143,3) (143,4) 82
(144,3) (144,4) 24
(145,3) (145,4) 2
(146,3) (146,4) 43
(147,3) (147,4) 15
(148,3) (148,4) 88
(149,3) (149,4) 55
(150,3) (150,4) 33
(151,3) (151,4) 95
(152,3) (152,4) 55
(153,3) (153,4) 63
(154,3) (154,4) 5
(155,3) (155,4) 78
(156,3) (156,4) 35
(157,3) (157,4) 41
(158,3) (158,4) 13
(159,3) (159,4) 74
(160,3) (160,4) 91
(161,3) (161,4) 61
(162,3) (162,4) 30
(163,3) (163,4) 33
(164,3) (164,4) 76
(165,3) (165,4) 14
(166,3) (166,4) 93
(167,3) (167,4) 13
(168,3) (168,4) 73
(169,3) (169,4) 74
(170,3) (170,4) 64
(171,3) (171,4) 86
(172,3) (172,4) 1
(173,3) (173,4) 77
(174,3) (174,4) 53
(175,3) (175,4) 84
(176,3) (176,4) 63
(177,3) (177,4) 24
(178,3) (178,4) 34
(179,3) (179,4) 66
(180,3) (180,4) 30
(181,3) (181,4) 73
(182,3) (182,4) 28
(183,3) (183,4) 6
(184,3) (184,4) 67
(185,3) (185,4) 55
(186,3) (186,4) 55
(187,3) (187,4) 32
(188,3) (188,4) 93
(189,3) (189,4) 27
(190,3) (190,4) 54
(191,3) (191,4) 39
(192,3) (192,4) 47
(193,3) (193,4) 82
(194,3) (194,4) 64
(195,3) (195,4) 33
(196,3) (196,4) 48
(197,3) (197,4) 7
(198,3) (198,4) 14
(199,3) (199,4) 92
(200,3) (200,4) 60
(201,3) (201,4) 77
(202,3) (202,4) 71
(203,3) (203,4) 57
(204,3) (204,4) 91
(205,3) (205,4) 50
(206,3) (206,4) 79
(207,3) (207,4) 2
(208,3) (208,4) 37
(209,3) (209,4) 72
(210,3) (210,4) 60
(211,3) (211,4) 25
(212,3) (212,4) 57
(213,3) (213,4) 1
(214,3) (214,4) 32
(215,3) (215,4) 55
(216,3) (216,4) 22
(217,3) (217,4) 18
(218,3) (218,4) 40
(219,3) (219,4) 35
(220,3) (220,4) 36
(221,3) (221,4) 48
(222,3) (222,4) 45
(223,3) (223,4) 7
(224,3) (224,4) 59
(225,3) (225,4) 74
(226,3) (226,4) 26
(227,3) (227,4) 89
(228,3) (228,4) 64
(229,3) (229,4) 7
(230,3) (230,4) 30
(231,3) (231,4) 71
(232,3) (232,4) 29
(233,3) (233,4) 9
(234,3) (234,4) 48
(235,3) (235,4) 57
(236,3) (236,4) 70
(237,3) (237,4) 52
(238,3) (238,4) 57
(239,3) (239,4) 33
(240,3) (240,4) 41
(241,3) (241,4) 89
(242,3) (242,4) 81
(243,3) (243,4) 77
(244,3) (244,4) 74
(245,3) (245,4) 95
(246,3) (246,4) 70
(247,3) (247,4) 53
(248,3) (248,4) 90
(249,3) (249,4) 59
(250,3) (250,4) 34
(1,4) (1,5) 52
(2,4) (2,5) 10
(3,4) (3,5) 12
(4,4) (4,5) 67
(5,4) (5,5) 9
(6,4) (6,5) 45
(7,4) (7,5) 85
(8,4) (8,5) 42
(9,4) (9,5) 15
(10,4) (10,5) 34
(11,4) (11,5) 84
(12,4) (12,5) 18
(13,4) (13,5) 1
(14,4) (14,5) 11
(15,4) (15,5) 25
(16,4) (16,5) 35
(17,4) (17,5) 21
(18,4) (18,5) 68
(19,4) (19,5) 7
(20,4) (20,5) 36
(21,4) (21,5) 91
(22,4) (22,5) 64
(23,4) (23,5) 28
(24,4) (24,5) 97
(25,4) (25,5) 34
(26,4) (26,5) 7
(27,4) (27,5) 35
(28,4) (28,5) 9
(29,4) (29,5) 96
(30,4) (30,5) 73
(31,4) (31,5) 31
(32,4) (32,5) 19
(33,4) (33,5) 95
(34,4) (34,5) 66
(35,4) (35,5) 7
(36,4) (36,5) 72
(37,4) (37,5) 57
(38,4) (38,5) 7
(39,4) (39,5) 88
(40,4) (40,5) 59
(41,4) (41,5) 8
(42,4) (42,5) 100
(43,4) (43,5) 76
(44,4) (44,5) 13
(45,4) (45,5) 27
(46,4) (46,5) 44
(47,4) (47,5) 33
(48,4) (48,5) 92
(49,4) (49,5) 56
(50,4) (50,5) 79
(51,4) (51,5) 7
(52,4) (52,5) 7
(53,4) (53,5) 10
(54,4) (54,5) 70
(55,4) (55,5) 48
(56,4) (56,5) 87
(57,4) (57,5) 60
(58,4) (58,5) 26
(59,4) (59,5) 1
(60,4) (60,5) 69
(61,4) (61,5) 5
(62,4) (62,5) 35
(63,4) (63,5) 17
(64,4) (64,5) 85
(65,4) (65,5) 63
(66,4) (66,5) 28
(67,4) (67,5) 81
(68,4) (68,5) 27
(69,4) (69,5) 68
(70,4) (70,5) 45
(71,4) (71,5) 83
(72,4) (72,5) 20
(73,4) (73,5) 39
(74,4) (74,5) 25
(75,4) (75,5) 45
(76,4) (76,5) 20
(77,4) (77,5) 92
(78,4) (78,5) 57
(79,4) (79,5) 86
(80,4) (80,5) 87
(81,4) (81,5) 15
(82,4) (82,5) 57
(83,4) (83,5) 29
(84,4) (84,5) 22
(85,4) (85,5) 69
(86,4) (86,5) 23
(87,4) (87,5) 54
(88,4) (88,5) 65
(89,4) (89,5) 90
(90,4) (90,5) 86
(91,4) (91,5) 53
(92,4) (92,5) 51
(93,4) (93,5) 79
(94,4) (94,5) 1
(95,4) (95,5) 2
(96,4) (96,5) 86
(97,4) (97,5) 26
(98,4) (98,5) 20
(99,4) (99,5) 18
(100,4) (100,5) 12
(101,4) (101,5) 40
(102,4) (102,5) 36
(103,4) (103,5) 61
(104,4) (104,5) 91
(105,4) (105,5) 2
(106,4) (106,5) 73
(107,4) (107,5) 77
(108,4) (108,5) 9
(109,4) (109,5) 24
(110,4) (110,5) 9
(111,4) (111,5) 28
(112,4) (112,5) 96
(113,4) (113,5) 13
(114,4) (114,5) 100
(115,4) (115,5) 39
(116,4) (116,5) 30
(117,4) (117,5) 13
(118,4) (118,5) 22
(119,4) (119,5) 65
(120,4) (120,5) 85
(121,4) (121,5) 10
(122,4) (122,5) 83
(123,4) (123,5) 31
(124,4) (124,5) 46
(125,4) (125,5) 26
(126,4) (126,5) 15
(127,4) (127,5) 89
(128,4) (128,5) 11
(129,4) (129,5) 90
(130,4) (130,5) 67
(131,4) (131,5) 59
(132,4) (132,5) 43
(133,4) (133,5) 28
(134,4) (134,5) 44
(135,4) (135,5) 62
(136,4) (136,5) 34
(137,4) (137,5) 19
(138,4) (138,5) 12
(139,4) (139,5) 2
(140,4) (140,5) 55
(141,4) (141,5) 63
(142,4) (142,5) 38
(143,4) (143,5) 46
(144,4) (144,5) 95
(145,4) (145,5) 96
(146,4) (146,5) 59
(147,4) (147,5) 18
(148,4) (148,5) 74
(149,4) (149,5) 5
(150,4) (150,5) 27
(151,4) (151,5) 42
(152,4) (152,5) 28
(153,4) (153,5) 58
