s (1,1) 13
(27,1) (27,2) 13
(28,1) (28,2) 71
(29,1) (29,2) 57
(30,1) (30,2) 71
(31,1) (31,2) 45
(32,1) (32,2) 82
(33,1) (33,2) 5
(34,1) (34,2) 48
(35,1) (35,2) 27
(36,1) (36,2) 28
(37,1) (37,2) 58
(38,1) (38,2) 61
(39,1) (39,2) 35
(40,1) (40,2) 15
(41,1) (41,2) 35
(42,1) (42,2) 20
(43,1) (43,2) 66
(44,1) (44,2) 25
(45,1) (45,2) 78
(46,1) (46,2) 45
(47,1) (47,2) 48
(48,1) (48,2) 82
(49,1) (49,2) 84
(50,1) (50,2) 6
(51,1) (51,2) 19
(52,1) (52,2) 11
(53,1) (53,2) 52
(54,1) (54,2) 59
(55,1) (55,2) 4
(56,1) (56,2) 79
(57,1) (57,2) 69
(58,1) (58,2) 84
(59,1) (59,2) 68
(60,1) (60,2) 14
(61,1) (61,2) 83
(62,1) (62,2) 60
(63,1) (63,2) 13
(64,1) (64,2) 20
(65,1) (65,2) 91
(66,1) (66,2) 92
(67,1) (67,2) 14
(68,1) (68,2) 95
(69,1) (69,2) 90
(70,1) (70,2) 37
(71,1) (71,2) 34
(72,1) (72,2) 45
(73,1) (73,2) 71
(74,1) (74,2) 34
(75,1) (75,2) 95
(76,1) (76,2) 13
(77,1) (77,2) 70
(78,1) (78,2) 74
(79,1) (79,2) 84
(80,1) (80,2) 37
(81,1) (81,2) 74
(82,1) (82,2) 99
(83,1) (83,2) 29
(84,1) (84,2) 58
(85,1) (85,2) 20
(86,1) (86,2) 5
(87,1) (87,2) 43
(88,1) (88,2) 88
(89,1) (89,2) 46
(90,1) (90,2) 11
(91,1) (91,2) 4
(92,1) (92,2) 41
(93,1) (93,2) 34
(94,1) (94,2) 23
(95,1) (95,2) 8
(96,1) (96,2) 65
(97,1) (97,2) 87
(98,1) (98,2) 99
(99,1) (99,2) 16
(100,1) (100,2) 31
(101,1) (101,2) 74
(102,1) (102,2) 95
(103,1) (103,2) 80
(104,1) (104,2) 83
(105,1) (105,2) 66
(106,1) (106,2) 51
(107,1) (107,2) 57
(108,1) (108,2) 32
(109,1) (109,2) 78
(110,1) (110,2) 24
(111,1) (111,2) 20
(112,1) (112,2) 33
(113,1) (113,2) 73
(114,1) (114,2) 75
(115,1) (115,2) 20
(116,1) (116,2) 73
(117,1) (117,2) 76
(118,1) (118,2) 89
(119,1) (119,2) 27
(120,1) (120,2) 47
(121,1) (121,2) 48
(122,1) (122,2) 97
(123,1) (123,2) 88
(124,1) (124,2) 8
(125,1) (125,2) 87
(126,1) (126,2) 64
(127,1) (127,2) 7
(128,1) (128,2) 36
(129,1) (129,2) 89
(130,1) (130,2) 88
(131,1) (131,2) 2
(132,1) (132,2) 64
(133,1) (133,2) 76
(134,1) (134,2) 21
(135,1) (135,2) 19
(136,1) (136,2) 56
(137,1) (137,2) 61
(138,1) (138,2) 56
(139,1) (139,2) 11
(140,1) (140,2) 96
(141,1) (141,2) 78
(142,1) (142,2) 90
(143,1) (143,2) 25
(144,1) (144,2) 17
(145,1) (145,2) 20
(146,1) (146,2) 21
(147,1) (147,2) 41
(148,1) (148,2) 77
(149,1) (149,2) 54
(150,1) (150,2) 10
(151,1) (151,2) 17
(152,1) (152,2) 7
(153,1) (153,2) 52
(154,1) (154,2) 47
(155,1) (155,2) 86
(156,1) (156,2) 2
(157,1) (157,2) 78
(158,1) (158,2) 19
(159,1) (159,2) 48
(160,1) (160,2) 22
(161,1) (161,2) 17
(162,1) (162,2) 13
(163,1) (163,2) 91
(164,1) (164,2) 26
(165,1) (165,2) 65
(166,1) (166,2) 94
(167,1) (167,2) 70
(168,1) (168,2) 100
(169,1) (169,2) 90
(170,1) (170,2) 100
(171,1) (171,2) 86
(172,1) (172,2) 50
(173,1) (173,2) 13
(174,1) (174,2) 47
(175,1) (175,2) 100
(176,1) (176,2) 85
(177,1) (177,2) 15
(178,1) (178,2) 66
(179,1) (179,2) 8
(180,1) (180,2) 21
(181,1) (181,2) 32
(182,1) (182,2) 40
(183,1) (183,2) 37
(184,1) (184,2) 53
(185,1) (185,2) 37
(186,1) (186,2) 41
(187,1) (187,2) 82
(188,1) (188,2) 73
(189,1) (189,2) 63
(190,1) (190,2) 13
(191,1) (191,2) 12
(192,1) (192,2) 22
(193,1) (193,2) 72
(194,1) (194,2) 91
(195,1) (195,2) 88
(196,1) (196,2) 69
(197,1) (197,2) 85
(198,1) (198,2) 82
(199,1) (199,2) 84
(200,1) (200,2) 72
(201,1) (201,2) 63
(202,1) (202,2) 33
(203,1) (203,2) 1
(204,1) (204,2) 6
(205,1) (205,2) 97
(206,1) (206,2) 13
(207,1) (207,2) 75
(208,1) (208,2) 58
(209,1) (209,2) 46
(210,1) (210,2) 70
(211,1) (211,2) 40
(212,1) (212,2) 88
(213,1) (213,2) 26
(214,1) (214,2) 91
(215,1) (215,2) 8
(216,1) (216,2) 80
(217,1) (217,2) 15
(218,1) (218,2) 10
(219,1) (219,2) 65
(220,1) (220,2) 28
(221,1) (221,2) 90
(222,1) (222,2) 100
(223,1) (223,2) 96
(224,1) (224,2) 88
(225,1) (225,2) 57
(226,1) (226,2) 25
(227,1) (227,2) 84
(228,1) (228,2) 89
(229,1) (229,2) 48
(230,1) (230,2) 81
(231,1) (231,2) 63
(232,1) (232,2) 75
(233,1) (233,2) 96
(234,1) (234,2) 68
(235,1) (235,2) 93
(236,1) (236,2) 76
(237,1) (237,2) 36
(238,1) (238,2) 76
(239,1) (239,2) 91
(240,1) (240,2) 39
(241,1) (241,2) 90
(242,1) (242,2) 60
(243,1) (243,2) 85
(244,1) (244,2) 94
(245,1) (245,2) 74
(246,1) (246,2) 63
(247,1) (247,2) 40
(248,1) (248,2) 100
(249,1) (249,2) 70
(250,1) (250,2) 83
(1,2) (1,3) 35
(2,2) (2,3) 70
(3,2) (3,3) 74
(4,2) (4,3) 22
(5,2) (5,3) 90
(6,2) (6,3) 1
(7,2) (7,3) 53
(8,2) (8,3) 48
(9,2) (9,3) 68
(10,2) (10,3) 89
(11,2) (11,3) 73
(12,2) (12,3) 20
(13,2) (13,3) 58
(14,2) (14,3) 10
(15,2) (15,3) 11
(16,2) (16,3) 8
(17,2) (17,3) 93
(18,2) (18,3) 76
(19,2) (19,3) 22
(20,2) (20,3) 14
(21,2) (21,3) 9
(22,2) (22,3) 93
(23,2) (23,3) 74
(24,2) (24,3) 25
(25,2) (25,3) 37
(26,2) (26,3) 70
(27,2) (27,3) 10
(28,2) (28,3) 85
(29,2) (29,3) 54
(30,2) (30,3) 22
(31,2) (31,3) 83
(32,2) (32,3) 60
(33,2) (33,3) 71
(34,2) (34,3) 81
(35,2) (35,3) 48
(36,2) (36,3) 86
(37,2) (37,3) 40
(38,2) (38,3) 12
(39,2) (39,3) 30
(40,2) (40,3) 68
(41,2) (41,3) 79
(42,2) (42,3) 7
(43,2) (43,3) 98
(44,2) (44,3) 9
(45,2) (45,3) 33
(46,2) (46,3) 36
(47,2) (47,3) 46
(48,2) (48,3) 46
(49,2) (49,3) 2
(50,2) (50,3) 38
(51,2) (51,3) 69
(52,2) (52,3) 68
(53,2) (53,3) 99
(54,2) (54,3) 59
(55,2) (55,3) 50
(56,2) (56,3) 33
(57,2) (57,3) 77
(58,2) (58,3) 46
(59,2) (59,3) 23
(60,2) (60,3) 39
(61,2) (61,3) 63
(62,2) (62,3) 65
(63,2) (63,3) 65
(64,2) (64,3) 21
(65,2) (65,3) 26
(66,2) (66,3) 83
(67,2) (67,3) 56
(68,2) (68,3) 20
(69,2) (69,3) 68
(70,2) (70,3) 10
(71,2) (71,3) 38
(72,2) (72,3) 93
(73,2) (73,3) 30
(74,2) (74,3) 29
(75,2) (75,3) 25
(76,2) (76,3) 50
(77,2) (77,3) 36
(78,2) (78,3) 57
(79,2) (79,3) 68
(80,2) (80,3) 70
(81,2) (81,3) 99
(82,2) (82,3) 62
(83,2) (83,3) 79
(84,2) (84,3) 63
(85,2) (85,3) 75
(86,2) (86,3) 57
(87,2) (87,3) 99
(88,2) (88,3) 43
(89,2) (89,3) 15
(90,2) (90,3) 44
(91,2) (91,3) 45
(92,2) (92,3) 43
(93,2) (93,3) 53
(94,2) (94,3) 6
(95,2) (95,3) 72
(96,2) (96,3) 77
(97,2) (97,3) 83
(98,2) (98,3) 77
(99,2) (99,3) 2
(100,2) (100,3) 88
(101,2) (101,3) 28
(102,2) (102,3) 22
(103,2) (103,3) 76
(104,2) (104,3) 42
(105,2) (105,3) 45
(106,2) (106,3) 68
(107,2) (107,3) 86
(108,2) (108,3) 26
(109,2) (109,3) 3
(110,2) (110,3) 14
(111,2) (111,3) 98
(112,2) (112,3) 59
(113,2) (113,3) 65
(114,2) (114,3) 43
(115,2) (115,3) 13
(116,2) (116,3) 90
(117,2) (117,3) 51
(118,2) (118,3) 12
(119,2) (119,3) 80
(120,2) (120,3) 64
(121,2) (121,3) 7
(122,2) (122,3) 5
(123,2) (123,3) 80
(124,2) (124,3) 56
(125,2) (125,3) 45
(126,2) (126,3) 92
(127,2) (127,3) 41
(128,2) (128,3) 16
(129,2) (129,3) 75
(130,2) (130,3) 47
(131,2) (131,3) 82
(132,2) (132,3) 38
(133,2) (133,3) 58
(134,2) (134,3) 53
(135,2) (135,3) 37
(136,2) (136,3) 52
(137,2) (137,3) 71
(138,2) (138,3) 41
(139,2) (139,3) 79
(140,2) (140,3) 85
(141,2) (141,3) 30
(142,2) (142,3) 2
(143,2) (143,3) 98
(144,2) (144,3) 22
(145,2) (145,3) 92
(146,2) (146,3) 47
(147,2) (147,3) 27
(148,2) (148,3) 68
(149,2) (149,3) 85
(150,2) (150,3) 51
(151,2) (151,3) 61
(152,2) (152,3) 7
(153,2) (153,3) 60
(154,2) (154,3) 57
(155,2) (155,3) 84
(156,2) (156,3) 22
(157,2) (157,3) 24
(158,2) (158,3) 43
(159,2) (159,3) 39
(160,2) (160,3) 88
(161,2) (161,3) 29
(162,2) (162,3) 21
(163,2) (163,3) 43
(164,2) (164,3) 19
(165,2) (165,3) 36
(166,2) (166,3) 14
(167,2) (167,3) 32
(168,2) (168,3) 54
(169,2) (169,3) 36
(170,2) (170,3) 30
(171,2) (171,3) 66
(172,2) (172,3) 79
(173,2) (173,3) 45
(174,2) (174,3) 90
(175,2) (175,3) 18
(176,2) (176,3) 75
(177,2) (177,3) 35
(178,2) (178,3) 48
(179,2) (179,3) 65
(180,2) (180,3) 24
(181,2) (181,3) 52
(182,2) (182,3) 19
(183,2) (183,3) 62
(184,2) (184,3) 14
(185,2) (185,3) 79
(186,2) (186,3) 4
(187,2) (187,3) 32
(188,2) (188,3) 25
(189,2) (189,3) 60
(190,2) (190,3) 40
(191,2) (191,3) 46
(192,2) (192,3) 95
(193,2) (193,3) 74
(194,2) (194,3) 71
(195,2) (195,3) 66
(196,2) (196,3) 13
(197,2) (197,3) 20
(198,2) (198,3) 17
(199,2) (199,3) 93
(200,2) (200,3) 9
(201,2) (201,3) 93
(202,2) (202,3) 72
(203,2) (203,3) 88
(204,2) (204,3) 92
(205,2) (205,3) 24
(206,2) (206,3) 89
(207,2) (207,3) 94
(208,2) (208,3) 73
(209,2) (209,3) 66
(210,2) (210,3) 68
(211,2) (211,3) 78
(212,2) (212,3) 75
(213,2) (213,3) 11
(214,2) (214,3) 31
(215,2) (215,3) 16
(216,2) (216,3) 35
(217,2) (217,3) 39
(218,2) (218,3) 38
(219,2) (219,3) 33
(220,2) (220,3) 58
(221,2) (221,3) 15
(222,2) (222,3) 67
(223,2) (223,3) 54
(224,2) (224,3) 41
(225,2) (225,3) 73
(226,2) (226,3) 25
(227,2) (227,3) 23
(228,2) (228,3) 94
(229,2) (229,3) 44
(230,2) (230,3) 43
(231,2) (231,3) 56
(232,2) (232,3) 13
(233,2) (233,3) 22
(234,2) (234,3) 75
(235,2) (235,3) 25
(236,2) (236,3) 48
(237,2) (237,3) 11
(238,2) (238,3) 39
(239,2) (239,3) 20
(240,2) (240,3) 73
(241,2) (241,3) 46
(242,2) (242,3) 73
(243,2) (243,3) 44
(244,2) (244,3) 34
(245,2) (245,3) 36
(246,2) (246,3) 19
(247,2) (247,3) 78
(248,2) (248,3) 18
(249,2) (249,3) 13
(250,2) (250,3) 51
(1,3) (1,4) 99
(2,3) (2,4) 51
(3,3) (3,4) 59
(4,3) (4,4) 62
(5,3) (5,4) 40
(6,3) (6,4) 100
(7,3) (7,4) 7
(8,3) (8,4) 91
(9,3) (9,4) 61
(10,3) (10,4) 5
(11,3) (11,4) 51
(12,3) (12,4) 47
(13,3) (13,4) 70
(14,3) (14,4) 41
(15,3) (15,4) 82
(16,3) (16,4) 3
(17,3) (17,4) 17
(18,3) (18,4) 92
(19,3) (19,4) 98
(20,3) (20,4) 65
(21,3) (21,4) 66
(22,3) (22,4) 43
(23,3) (23,4) 83
(24,3) (24,4) 40
(25,3) (25,4) 45
(26,3) (26,4) 10
(27,3) (27,4) 2
(28,3) (28,4) 44
(29,3) (29,4) 36
(30,3) (30,4) 44
(31,3) (31,4) 9
(32,3) (32,4) 67
(33,3) (33,4) 25
(34,3) (34,4) 26
(35,3) (35,4) 42
(36,3) (36,4) 31
(37,3) (37,4) 3
(38,3) (38,4) 54
(39,3) (39,4) 95
(40,3) (40,4) 64
(41,3) (41,4) 6
(42,3) (42,4) 58
(43,3) (43,4) 29
(44,3) (44,4) 89
(45,3) (45,4) 30
(46,3) (46,4) 94
(47,3) (47,4) 54
(48,3) (48,4) 95
(49,3) (49,4) 100
(50,3) (50,4) 43
(51,3) (51,4) 1
(52,3) (52,4) 55
(53,3) (53,4) 15
(54,3) (54,4) 22
(55,3) (55,4) 60
(56,3) (56,4) 9
(57,3) (57,4) 33
(58,3) (58,4) 17
(59,3) (59,4) 32
(60,3) (60,4) 33
(61,3) (61,4) 47
(62,3) (62,4) 45
(63,3) (63,4) 18
(64,3) (64,4) 86
(65,3) (65,4) 61
(66,3) (66,4) 6
(67,3) (67,4) 91
(68,3) (68,4) 86
(69,3) (69,4) 95
(70,3) (70,4) 27
(71,3) (71,4) 66
(72,3) (72,4) 50
(73,3) (73,4) 48
(74,3) (74,4) 14
(75,3) (75,4) 29
(76,3) (76,4) 30
(77,3) (77,4) 100
(78,3) (78,4) 8
(79,3) (79,4) 93
(80,3) (80,4) 61
(81,3) (81,4) 21
(82,3) (82,4) 37
(83,3) (83,4) 24
(84,3) (84,4) 27
(85,3) (85,4) 99
(86,3) (86,4) 67
(87,3) (87,4) 14
(88,3) (88,4) 60
(89,3) (89,4) 26
(90,3) (90,4) 5
(91,3) (91,4) 52
(92,3) (92,4) 87
(93,3) (93,4) 66
(94,3) (94,4) 97
(95,3) (95,4) 28
(96,3) (96,4) 43
(97,3) (97,4) 81
(98,3) (98,4) 99
(99,3) (99,4) 57
(100,3) (100,4) 30
(101,3) (101,4) 41
(102,3) (102,4) 53
(103,3) (103,4) 60
(104,3) (104,4) 43
(105,3) (105,4) 52
(106,3) (106,4) 7
(107,3) (107,4) 9
(108,3) (108,4) 70
(109,3) (109,4) 8
(110,3) (110,4) 18
(111,3) (111,4) 63
(112,3) (112,4) 43
(113,3) (113,4) 5
(114,3) (114,4) 90
(115,3) (115,4) 7
(116,3) (116,4) 67
(117,3) (117,4) 15
(118,3) (118,4) 86
(119,3) (119,4) 16
(120,3) (120,4) 45
(121,3) (121,4) 90
(122,3) (122,4) 37
(123,3) (123,4) 53
(124,3) (124,4) 61
(125,3) (125,4) 37
(126,3) (126,4) 95
(127,3) (127,4) 44
(128,3) (128,4) 84
(129,3) (129,4) 34
(130,3) (130,4) 81
(131,3) (131,4) 54
(132,3) (132,4) 51
(133,3) (133,4) 63
(134,3) (134,4) 2
(135,3) (135,4) 36
(136,3) (136,4) 1
(137,3) (137,4) 90
(138,3) (138,4) 79
(139,3) (139,4) 80
(140,3) (140,4) 11
(141,3) (141,4) 11
(142,3) (142,4) 57
(143,3) (143,4) 94
(144,3) (144,4) 7
(145,3) (145,4) 24
(146,3) (146,4) 42
(147,3) (147,4) 46
(148,3) (148,4) 71
(149,3) (149,4) 18
(150,3) (150,4) 30
(151,3) (151,4) 59
(152,3) (152,4) 12
(153,3) (153,4) 23
(154,3) (154,4) 77
(155,3) (155,4) 51
(156,3) (156,4) 23
(157,3) (157,4) 84
(158,3) (158,4) 36
(159,3) (159,4) 77
(160,3) (160,4) 91
(161,3) (161,4) 59
(162,3) (162,4) 20
(163,3) (163,4) 25
(164,3) (164,4) 18
(165,3) (165,4) 8
(166,3) (166,4) 58
(167,3) (167,4) 6
(168,3) (168,4) 10
(169,3) (169,4) 97
(170,3) (170,4) 48
(171,3) (171,4) 30
(172,3) (172,4) 32
(173,3) (173,4) 52
(174,3) (174,4) 81
(175,3) (175,4) 59
(176,3) (176,4) 27
(177,3) (177,4) 25
(178,3) (178,4) 69
(179,3) (179,4) 77
(180,3) (180,4) 2
(181,3) (181,4) 8
(182,3) (182,4) 68
(183,3) (183,4) 50
(184,3) (184,4) 9
(185,3) (185,4) 54
(186,3) (186,4) 46
(187,3) (187,4) 81
(188,3) (188,4) 26
(189,3) (189,4) 92
(190,3) (190,4) 91
(191,3) (191,4) 28
(192,3) (192,4) 86
(193,3) (193,4) 18
(194,3) (194,4) 37
(195,3) (195,4) 49
(196,3) (196,4) 26
(197,3) (197,4) 1
(198,3) (198,4) 75
(199,3) (199,4) 87
(200,3) (200,4) 99
(201,3) (201,4) 11
(202,3) (202,4) 28
(203,3) (203,4) 35
(204,3) (204,4) 98
(205,3) (205,4) 40
(206,3) (206,4) 45
(207,3) (207,4) 33
(208,3) (208,4) 9
(209,3) (209,4) 70
(210,3) (210,4) 36
(211,3) (211,4) 61
(212,3) (212,4) 76
(213,3) (213,4) 58
(214,3) (214,4) 56
(215,3) (215,4) 14
(216,3) (216,4) 79
(217,3) (217,4) 62
(218,3) (218,4) 18
(219,3) (219,4) 17
(220,3) (220,4) 14
(221,3) (221,4) 36
(222,3) (222,4) 97
(223,3) (223,4) 5
(224,3) (224,4) 95
(225,3) (225,4) 49
(226,3) (226,4) 50
(227,3) (227,4) 8
(228,3) (228,4) 51
(229,3) (229,4) 20
(230,3) (230,4) 46
(231,3) (231,4) 59
(232,3) (232,4) 48
(233,3) (233,4) 22
(234,3) (234,4) 94
(235,3) (235,4) 66
(236,3) (236,4) 83
(237,3) (237,4) 1
(238,3) (238,4) 6
(239,3) (239,4) 6
(240,3) (240,4) 87
(241,3) (241,4) 69
(242,3) (242,4) 74
(243,3) (243,4) 20
(244,3) (244,4) 62
(245,3) (245,4) 47
(246,3) (246,4) 93
(247,3) (247,4) 30
(248,3) (248,4) 68
(249,3) (249,4) 38
(250,3) (250,4) 51
(1,4) (1,5) 30
(2,4) (2,5) 89
(3,4) (3,5) 24
(4,4) (4,5) 18
(5,4) (5,5) 83
(6,4) (6,5) 19
(7,4) (7,5) 41
(8,4) (8,5) 29
(9,4) (9,5) 9
(10,4) (10,5) 66
(11,4) (11,5) 100
(12,4) (12,5) 38
(13,4) (13,5) 97
(14,4) (14,5) 29
(15,4) (15,5) 67
(16,4) (16,5) 90
(17,4) (17,5) 81
(18,4) (18,5) 38
(19,4) (19,5) 77
(20,4) (20,5) 16
(21,4) (21,5) 2
(22,4) (22,5) 98
(23,4) (23,5) 83
(24,4) (24,5) 71
(25,4) (25,5) 75
(26,4) (26,5) 35
(27,4) (27,5) 71
(28,4) (28,5) 96
(29,4) (29,5) 11
(30,4) (30,5) 90
(31,4) (31,5) 81
(32,4) (32,5) 48
(33,4) (33,5) 24
(34,4) (34,5) 61
(35,4) (35,5) 77
(36,4) (36,5) 86
(37,4) (37,5) 79
(38,4) (38,5) 78
(39,4) (39,5) 30
(40,4) (40,5) 9
(41,4) (41,5) 28
(42,4) (42,5) 38
(43,4) (43,5) 1
(44,4) (44,5) 9
(45,4) (45,5) 77
(46,4) (46,5) 18
(47,4) (47,5) 85
(48,4) (48,5) 97
(49,4) (49,5) 83
(50,4) (50,5) 72
(51,4) (51,5) 27
(52,4) (52,5) 6
(53,4) (53,5) 90
(54,4) (54,5) 74
(55,4) (55,5) 76
(56,4) (56,5) 63
(57,4) (57,5) 43
(58,4) (58,5) 63
(59,4) (59,5) 90
(60,4) (60,5) 29
(61,4) (61,5) 44
(62,4) (62,5) 95
(63,4) (63,5) 52
(64,4) (64,5) 4
(65,4) (65,5) 11
(66,4) (66,5) 18
(67,4) (67,5) 97
(68,4) (68,5) 68
(69,4) (69,5) 100
(70,4) (70,5) 8
(71,4) (71,5) 96
(72,4) (72,5) 30
(73,4) (73,5) 17
(74,4) (74,5) 8
(75,4) (75,5) 47
(76,4) (76,5) 100
(77,4) (77,5) 49
(78,4) (78,5) 23
(79,4) (79,5) 50
(80,4) (80,5) 21
(81,4) (81,5) 48
(82,4) (82,5) 12
(83,4) (83,5) 24
(84,4) (84,5) 97
(85,4) (85,5) 81
(86,4) (86,5) 79
(87,4) (87,5) 79
(88,4) (88,5) 86
(89,4) (89,5) 6
(90,4) (90,5) 3
(91,4) (91,5) 65
(92,4) (92,5) 59
(93,4) (93,5) 70
(94,4) (94,5) 53
(95,4) (95,5) 27
(96,4) (96,5) 38
(97,4) (97,5) 15
(98,4) (98,5) 59
(99,4) (99,5) 26
(100,4) (100,5) 52
(101,4) (101,5) 38
(102,4) (102,5) 77
(103,4) (103,5) 6
(104,4) (104,5) 36
(105,4) (105,5) 20
(106,4) (106,5) 99
(107,4) (107,5) 99
(108,4) (108,5) 87
(109,4) (109,5) 2
(110,4) (110,5) 28
(111,4) (111,5) 36
(112,4) (112,5) 64
(113,4) (113,5) 80
(114,4) (114,5) 43
(115,4) (115,5) 82
(116,4) (116,5) 9
(117,4) (117,5) 64
(118,4) (118,5) 93
(119,4) (119,5) 1
(120,4) (120,5) 60
(121,4) (121,5) 37
(122,4) (122,5) 54
(123,4) (123,5) 67
(124,4) (124,5) 35
(125,4) (125,5) 5
(126,4) (126,5) 89
(127,4) (127,5) 29
(128,4) (128,5) 3
(129,4) (129,5) 64
(130,4) (130,5) 24
(131,4) (131,5) 52
(132,4) (132,5) 12
(133,4) (133,5) 31
(134,4) (134,5) 21
(135,4) (135,5) 53
(136,4) (136,5) 84
(137,4) (137,5) 16
(138,4) (138,5) 4
(139,4) (139,5) 84
(140,4) (140,5) 13
(141,4) (141,5) 86
(142,4) (142,5) 64
(143,4) (143,5) 44
(144,4) (144,5) 97
(145,4) (145,5) 23
(146,4) (146,5) 36
(147,4) (147,5) 47
(148,4) (148,5) 49
(149,4) (149,5) 83
(150,4) (150,5) 55
(151,4) (151,5) 10
(152,4) (152,5) 54
(153,4) (153,5) 65
